"region","hushållsstorlek","X2019"
"Tomelilla","uppgift saknas",15
"Bromölla","1 person",2061
"Bromölla","2 personer",3954
"Bromölla","3 personer",2166
"Bromölla","4 personer",2728
"Bromölla","5 personer",1145
"Bromölla","6 personer",480
"Bromölla","7+ personer",324
"Bromölla","uppgift saknas",12
"Osby","1 person",2368
"Osby","2 personer",4072
"Osby","3 personer",1896
"Osby","4 personer",2644
"Osby","5 personer",1335
"Osby","6 personer",354
"Osby","7+ personer",512
"Osby","uppgift saknas",27
"Perstorp","1 person",1325
"Perstorp","2 personer",2200
"Perstorp","3 personer",1095
"Perstorp","4 personer",1276
"Perstorp","5 personer",845
"Perstorp","6 personer",306
"Perstorp","7+ personer",423
"Perstorp","uppgift saknas",22
"Klippan","1 person",3208
"Klippan","2 personer",5270
"Klippan","3 personer",2916
"Klippan","4 personer",3280
"Klippan","5 personer",1720
"Klippan","6 personer",696
"Klippan","7+ personer",638
"Klippan","uppgift saknas",28
